frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
1,1.88148857674412806e-2,2.96718787926861127e-1,0.00000000000000000e0,0.00000000000000000e0,4.15407429309880714e-16,0.00000000000000000e0,Nominal
2,-6.03119914422874270e-1,4.91531844631301285e-1,2.03232255343476775e-1,0.00000000000000000e0,5.43896287670419200e-16,2.38546766192471916e-16,Nominal
3,1.44288569667683664e-1,2.45265205388223384e-1,1.41849626913571725e-1,0.00000000000000000e0,4.00296626857608016e-16,2.81309077199564886e-16,Nominal
4,5.76558992845441765e-1,1.79385934513078382e-1,1.15569286954303352e-1,0.00000000000000000e0,3.14020423416771295e-16,1.87497555253100634e-16,Nominal
5,9.44101262795391527e-2,7.88184540963188240e-2,2.09012300431792308e-2,0.00000000000000000e0,2.48253888321440201e-16,1.87729003482488765e-16,Nominal
6,2.75527451538855050e-1,9.73620066597594924e-1,1.07654422870627431e-1,0.00000000000000000e0,4.00296633614254917e-16,1.78813306716113121e-16,Nominal
7,-6.35428754052153488e-1,-8.27399099059047405e-2,3.05943269245319671e-1,0.00000000000000000e0,2.22065898841685286e-16,1.96416741941442835e-16,Nominal
8,8.74756026721135171e-1,6.72380796767510613e-1,1.62623597987794133e-1,2.22044604925031308e-16,3.33069733024533540e-16,3.76585103875079040e-16,Nominal
9,-8.22302669530558861e-1,6.32240057003266021e-2,2.04655009236058727e-1,1.11022302462515654e-16,3.84594768491059842e-16,1.48022466072008956e-16,Nominal
10,9.60791748335920737e-1,5.73953754929476867e-1,7.91029838389786910e-1,0.00000000000000000e0,5.43906723502961103e-16,5.85390623448796556e-16,Nominal
11,-8.02727301574756025e-1,-1.21794290885526513e-1,3.69214890852241795e-1,1.11022302462515654e-16,3.33073577705213490e-16,4.31513990157128674e-16,Nominal
12,8.77219420309607312e-2,3.57480904758551210e-1,4.52828843957986393e-2,1.11022302462515654e-16,3.68227748404480976e-16,2.08195727167646803e-16,Nominal
13,7.19271246652984031e-1,4.06678463815804747e-1,2.60353671512534857e-1,2.22044604925031308e-16,2.22059109890487830e-16,1.47889627529950673e-16,Nominal
14,2.98907337629497283e-1,-1.85347299634680107e-1,1.66342722330713566e-1,1.11022302462515654e-16,1.11054908442983179e-16,2.13871073731808914e-17,Nominal
15,8.03205394589382893e-1,-4.38721402024412788e-1,1.72649853568852096e-1,1.11022302462515654e-16,3.51089239625622826e-16,5.18824442739061087e-17,Nominal
16,-7.13177565434506278e-1,3.96030254059617670e-1,6.57090220163039196e-1,0.00000000000000000e0,3.33108691725286962e-16,1.93450836730871947e-16,Nominal
17,-2.88855861301102301e-1,7.09504191073814683e-1,2.72072410619259908e-1,1.11022302462515654e-16,5.08789175929090970e-16,6.37850061340283592e-17,Nominal
18,8.45410744712706164e-1,5.34958354482389264e-1,1.48229884360584152e-1,0.00000000000000000e0,4.96508345865741966e-16,1.54407443285684355e-16,Nominal
19,-7.62635174055592779e-1,1.37663398134596049e-1,3.17901845396761251e-1,0.00000000000000000e0,3.33148212626738665e-16,2.91701889530147830e-16,Nominal
20,-2.58767044599128804e-1,8.97371055724894173e-1,9.32925576579511917e-2,0.00000000000000000e0,2.48277657638668673e-16,1.88590851832382522e-16,Nominal
21,-6.88457181756492398e-1,-2.32739118533014100e-1,3.44069046527877509e-1,2.22044604925031308e-16,3.33089494166951048e-16,7.47341745035227065e-17,Nominal
22,5.78607259025562870e-1,-2.66582404347886381e-1,1.93171558072338145e0,2.22044604925031308e-16,3.84608186068747308e-16,1.58383198369157024e-16,Nominal
23,-7.37014359076395564e-2,3.18873185520690106e-1,3.90008932371563311e-1,1.11022302462515654e-16,2.48277657638668673e-16,5.72195849815279681e-17,Nominal
24,-5.88369194784414962e-2,-9.67002404505126201e-1,6.72495731154853948e-1,0.00000000000000000e0,3.14066403500927671e-16,1.30162794448442895e-16,Nominal
25,2.56762719027322284e-1,5.15086412438741981e-1,1.41466481697541946e-1,0.00000000000000000e0,2.22085258784868186e-16,9.61356631255178622e-17,Nominal
