frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
1,-3.01559957211437156e-2,2.96718787926861127e-1,0.00000000000000000e0,0.00000000000000000e0,7.85046250490773336e-16,0.00000000000000000e0,Nominal
2,1.22632602694111702e-2,7.15153091540774444e-2,6.66677311905408354e-1,1.11022302462515654e-16,6.37774573068113734e-16,2.60163660076192035e-16,Nominal
3,9.55492003287838898e-1,7.31764178323629277e-1,1.45827316545844354e-1,0.00000000000000000e0,2.48255853867684067e-16,3.63012690960793844e-16,Nominal
4,3.00194119104301507e-2,7.75823504485711135e-1,1.56853172538836572e-1,1.11022302462515654e-16,2.22044939105747330e-16,8.71212947762226311e-17,Nominal
5,-2.12195743613917374e-2,-9.65186867223426725e-1,1.29912363791330265e0,1.11022302462515654e-16,4.15407540137975942e-16,1.79086176823944346e-16,Nominal
6,1.00969491144418089e0,1.19182353212972103e-1,5.36351246184106900e-2,0.00000000000000000e0,3.14027063987728986e-16,3.37143853429517801e-16,Nominal
7,3.41235901173987041e-2,-2.88151302675055732e-1,9.06754035177935958e-1,0.00000000000000000e0,4.57757424555904677e-16,4.47343445558316228e-17,Nominal
8,9.84483181766163673e-1,-8.22302669530558861e-1,1.41279811163260938e-1,0.00000000000000000e0,4.71030792846597910e-16,6.56715996347785207e-16,Nominal
9,-4.01363650787378012e-2,5.73953754929476867e-1,3.80013900039820274e-1,1.11022302462515654e-16,1.11030693065585980e-16,1.64046202061074925e-16,Nominal
10,1.78740452379275612e-2,-8.49581179751417448e-1,6.69658568674959431e-1,1.11022302462515654e-16,1.40946282423115576e-18,3.65830799932935951e-16,Nominal
11,9.95607008048223885e-1,8.04217814926322605e-1,2.07009245660693786e-1,0.00000000000000000e0,2.71992908941670202e-16,1.43138997115686149e-16,Nominal
12,-1.83067687602445420e-2,-6.03488236511253273e-1,3.28606878272252989e-1,0.00000000000000000e0,4.15464688064361982e-16,4.05346639779505361e-17,Nominal
13,4.16429275724839246e-2,-5.98032837314982801e-1,5.05913561008309864e-2,2.22044604925031308e-16,4.57758040861482972e-16,3.62906680279589631e-16,Nominal
14,-2.69289551982024103e-2,2.34939508733184255e-1,3.34147476607881577e-1,0.00000000000000000e0,3.14060602074695118e-16,1.56241320156366909e-16,Nominal
15,3.56792996966847006e-2,-6.82811195005433413e-1,5.07981056961338107e-1,0.00000000000000000e0,4.57758477410765578e-16,8.11945101444897681e-17,Nominal
16,3.66284126740504820e-3,8.45410744712706164e-1,4.91058262914752852e-1,0.00000000000000000e0,5.55112412615226862e-16,1.10859552847831068e-16,Nominal
17,-1.29383522299564412e-2,1.37663398134596049e-1,1.29598594451514093e0,0.00000000000000000e0,2.48296974038039114e-16,1.00345356492443880e-16,Nominal
18,9.88363044073349295e-1,-1.37631183642730859e-1,1.31641733306415820e-1,1.11022302462515654e-16,2.22055585941423902e-16,1.94646873699854689e-16,Nominal
19,1.56385671889297632e-2,-5.70927032965789172e-1,3.89633669050731157e-1,0.00000000000000000e0,3.84604793513592737e-16,5.64653142643577606e-17,Nominal
20,-4.75959358187679690e-2,-9.39771145502245941e-1,1.54423535947254997e-1,1.11022302462515654e-16,2.22048522417854532e-16,1.08034639858308843e-17,Nominal
21,-2.38506634647916785e-2,-3.86868553149839478e-2,2.17861953586079626e-1,0.00000000000000000e0,2.48286605863445788e-16,2.55540725084828129e-17,Nominal
22,-1.02077916246446701e-2,-7.47246688560125660e-1,6.96920678254531190e-3,0.00000000000000000e0,2.22058421720106216e-16,5.47469494670948359e-17,Nominal
